Go.	Va !
The boy complained of a headache.	Le garçon s'est plaint de mal de tête.
The boys played cops and robbers.	Les garçons jouaient aux gendarmes et aux voleurs.
The bridge is under construction.	Le pont est en construction.
The bullet cut through an artery.	La balle sectionna une artère.
The bus leaves every ten minutes.	Il y a un bus qui part toutes les dix minutes.
The bus stopped in every village.	Le bus s'est arrêté dans chaque village.
The bus turned around the corner.	Le bus tourna à l'angle.
The bus turned around the corner.	Le bus a tourné à l'angle.
The buses left one after another.	Les cars partirent l'un après l'autre.
The cat is sleeping on the table.	Le chat est en train de dormir sur la table.
The cat lay hidden in the bushes.	Le chat se tapit dans les buissons.
The cat sleeps next to the couch.	Le chat dort à côté du canapé.
The cause of the fire is unknown.	La cause de l'incendie est inconnue.
The children are asleep upstairs.	Les enfants dorment à l'étage.
The children are playing outside.	Les enfants jouent dehors.
The children were swimming naked.	Les enfants nageaient nus.
The city was blanketed with snow.	La ville était recouverte de neige.
The clock is made in Switzerland.	L'horloge est fabriquée en Suisse.
The cold weather kept us indoors.	Le temps froid nous a cloués à l'intérieur.
The company stopped losing money.	La compagnie a arrêté de perdre de l'argent.
The conference will end tomorrow.	La conférence finira demain.
The cops are keeping tabs on him.	Les flics l'ont à l'œil.
The cost of living has gone down.	Le coût de la vie a baissé.
The customer is not always right.	Le client n'a pas toujours raison.
The day we arrived was a holiday.	Le jour où nous arrivâmes était férié.
The day we arrived was a holiday.	Le jour où nous sommes arrivés était férié.
The day we arrived was a holiday.	Le jour où nous sommes arrivées était férié.
The doctor is taking care of Tom.	Le docteur prend soin de Tom.
The doctor she visited is famous.	Le médecin qu'elle a été voir est célèbre.
The dog follows me wherever I go.	Le chien me suit où que j'aille.
The dogs howled at the full moon.	Les chiens hurlaient à la pleine Lune.
The door of the office is yellow.	La porte du bureau est jaune.
The door remained closed all day.	La porte est restée fermée toute la journée.
The fire was put out immediately.	L'incendie fut immédiatement éteint.
The floor was covered with blood.	Le sol était couvert de sang.
The food was finger-licking good.	La nourriture était bonne à s'en lécher les doigts.
The frost killed all the flowers.	Le gel a tué toutes les fleurs.
The fuel tank in the car is full.	Le réservoir d'essence de la voiture est plein.
The future will come soon enough.	Le futur adviendra bien assez tôt.
The general inspected the troops.	Le général passa les troupes en revue.
The girl was aware of the danger.	La fille était consciente du danger.
The girl was trembling with fear.	La fille tremblait de peur.
The hat costs less than the coat.	Le chapeau coûte moins que le manteau.
The heat kept me awake all night.	La chaleur m'a tenu éveillé toute la nuit.
The hills were covered with snow.	Les collines étaient recouvertes de neige.
The horse ran through the fields.	Le cheval traversait les champs au galop.
The hotel has a homey atmosphere.	L'hôtel a une atmosphère accueillante.
The house burned down completely.	La maison était en cendres.
The house collapsed a week later.	La maison s'écroula une semaine plus tard.
The house is built of red bricks.	La maison est faite de briques rouges.
The ice cracked under the weight.	La glace craqua sous le poids.
The implications are frightening.	Les implications en sont effrayantes.
The installation is now complete.	L'installation est maintenant terminée.
The job isn't anywhere near done.	Le travail est loin d'être terminé.
The king reigned over the island.	Le roi a régné sur l'île.
The lady came from a good family.	La dame venait d'une bonne famille.
The lake is a long way from here.	Le lac est loin d'ici.
The lake is deepest at this spot.	Le lac est le plus profond à cet endroit.
The land had never been ploughed.	La terre n'avait jamais été labourée.
The leaves blew away in the wind.	Les feuilles s'envolèrent au vent.
The letter was wrongly addressed.	La lettre était mal adressée.
The locking mechanism has jammed.	Le mécanisme de fermeture s'est coincé.
The locking mechanism has jammed.	Le mécanisme de verrouillage s'est bloqué.
The mail is delivered once a day.	Le courrier est distribué une fois par jour.
The man took the boy by the hand.	L'homme prit le garçon par la main.
The market should be deregulated.	Le marché devrait être dérégulé
The meeting took place yesterday.	La réunion a eu lieu hier.
The meeting took place yesterday.	La réunion s'est tenue hier.
The middle finger is the longest.	Le majeur est le plus long doigt.
The moment he saw me he ran away.	Au moment où il me vit, il s'enfuit en courant.
The mouse ran underneath the bed.	La souris a couru sous le lit.
The movie received mixed reviews.	Le film a été accueilli de manière mitigée par la critique.
The murderer confessed his crime.	Le meurtrier confessa son crime.
The museum is not open on Monday.	Le musée n'est pas ouvert le lundi.
The museum is open to the public.	Le musée est ouvert au public.
The museum isn't open on Sundays.	Le musée n'est pas ouvert les dimanches.
The new film was a great success.	Le nouveau film fut un grand succès.
The new museum is worth visiting.	La visite du nouveau musée vaut le coup.
The news confirmed my suspicions.	Les nouvelles ont confirmé mes soupçons.
The old castle is in a sad state.	Le vieux château est en piteux état.
The old lady stepped off the bus.	La vieille dame descendit du bus.
The old man was starved to death.	Le vieil homme fut affamé jusqu'à la mort.
The owners appointed him manager.	Les propriétaires l'ont nommé directeur.
The painting is all but finished.	Le tableau est presque terminé.
The paper didn't carry the story.	Le journal n'a pas publié l'histoire.
The peace talks ended in failure.	Les négociations de paix se soldèrent par un échec.
The phone doesn't work right now.	Le téléphone ne fonctionne pas actuellement.
The plan was discussed in detail.	Le plan fut discuté en détail.
The plane flew over the mountain.	L'avion survola la montagne.
The plane made a perfect landing.	L'avion a effectué un atterrissage parfait.
The plane still hasn't taken off.	L'avion n'a toujours pas décollé.
The plane was approaching London.	L'avion approchait Londres.
The planes flew over the village.	Les avions volèrent au-dessus du village.
The plot twists were predictable.	Les péripéties de l'intrigue étaient prévisibles.
The police accused him of murder.	La police l'a accusé de meurtre.
The police chased the stolen car.	La police poursuivit la voiture volée.
The police have arrested someone.	La police a arrêté quelqu'un.
The police lowered their weapons.	La police baissa ses armes.
The policeman arrested the thief.	Le policier a arrêté le voleur.
The president appeared powerless.	Le président apparaissait impuissant.
The prince was lost in the woods.	Le prince était perdu dans les bois.
The prisoner escaped from prison.	Le prisonnier s'échappa de prison.
The prisoners have been released.	Les prisonniers ont été relâchés.
The problem remains to be solved.	Le problème reste à résoudre.
The problem was under discussion.	Le problème était en discussion.
The ring was nowhere to be found.	Nulle part on ne trouvait la bague.
The road turns a bit to the west.	La route vire légèrement vers l'ouest.
The room is being painted by him.	Il est en train de peindre la pièce.
The rule holds good in this case.	Dans ce cas la règle s'applique dans toute sa rigueur.
The rule holds good in this case.	La règle reste valide en ce cas.
The rumor turned out to be false.	La rumeur se révéla fausse.
The rumor turned out to be false.	La rumeur s'avéra infondée.
The rumor was not based on facts.	La rumeur ne reposait pas sur des faits.
The rumor was without foundation.	La rumeur était sans fondement.
The sales of this model took off.	Les ventes de ce modèle se sont envolées.
The ship appeared on the horizon.	Le navire apparut à l'horizon.
The ship wasn't ready for battle.	Le navire n'était pas en ordre de bataille.
The sign indicates the way to go.	Le panneau indique le chemin.
The situation is growing serious.	La situation devient sérieuse.
The situation left him perplexed.	La situation l'a laissé perplexe.
The situation there was critical.	La situation là-bas était critique.
The sky became darker and darker.	Le ciel devenait de plus en plus sombre.
The sky became darker and darker.	Le ciel devint de plus en plus sombre.
The snow was several meters deep.	La neige était profonde de plusieurs mètres.
The sooner you leave, the better.	Le plus tôt tu partiras, le mieux ce sera.
The sooner you leave, the better.	Le plus tôt vous partirez, le mieux ce sera.
The stars are shining in the sky.	Les étoiles brillent dans le ciel.
The station is not far from here.	La gare n'est pas loin d'ici.
The storm caused a lot of damage.	La tempête occasionna beaucoup de dommage.
The story begins a long time ago.	L'histoire commence il y a longtemps.
The streets aren't safe at night.	De nuit, les rues ne sont pas sûres.
The students made her life happy.	Les élèves ont rendu sa vie heureuse.
The sun always rises in the east.	Le Soleil se lève toujours à l'Est.
The swimmers were numb with cold.	Les nageurs étaient transis de froid.
The table was covered with paper.	La table était recouverte de papier.
The talks continued for two days.	Les pourparlers se sont poursuivis pendant deux jours.
The telephone rang several times.	Le téléphone a sonné plusieurs fois.
The tenor sang very well tonight.	Le ténor a très bien chanté ce soir.
The tower is fifteen metres tall.	La tour fait quinze mètres de haut.
The town has many tall buildings.	Il y a de nombreux bâtiments de grande taille dans cette ville.
The town has many tall buildings.	Cette ville comporte de nombreux bâtiments de grande taille.
The traffic light changed to red.	Le feu de circulation est passé au rouge.
The tree was struck by lightning.	L'arbre a été frappé par la foudre.
The troops advanced twenty miles.	Les troupes progressèrent de vingt milles.
The truck cut in front of my car.	Le poids lourd traversa devant ma voiture.
The two answers are both correct.	Les deux réponses sont correctes.
The two brothers are still alive.	Les deux frères sont toujours vivants.
The two of us split up last year.	Nous nous sommes tous deux séparés l'année dernière.
The water flows under the bridge.	L'eau s'écoule sous le pont.
The water was calm and very blue.	L'eau était calme et très bleue.
The whole family was sick in bed.	Toute la famille était malade au lit.
The word is not in my dictionary.	Ce mot n'est pas dans mon dictionnaire.
The work is practically finished.	Le travail est pratiquement terminé.
The world is full of dumb people.	Le monde est plein d’idiots.
The wound left a scar on her arm.	La blessure lui laissa une cicatrice sur le bras.
The young adapt to change easily.	Les jeunes s'adaptent facilement.
The young girl lost her bracelet.	La fillette a perdu son bracelet.
The young should respect the old.	Les jeunes devraient respecter les vieux.
Their friendship moved us deeply.	Leur amitié nous a profondément touchés.
There are 50 members in the club.	Il y a 50 membres dans le club.
There are few houses around here.	Il y a peu de maisons dans le coin.
There are four seasons in a year.	Il y a quatre saisons dans une année.
There are many fish in this lake.	Il y a beaucoup de poisson dans ce lac.
There are many islands in Greece.	Il y a beaucoup d'îles en Grèce.
There are many mysteries in life.	Il y a de nombreux mystères dans la vie.
There are many parks in our town.	Il y a de nombreux parcs dans notre ville.
There are no chairs in this room.	Il n'y a pas de chaises dans cette salle.
There are some books on the desk.	Il y a quelques livres sur le bureau.
There are some flies on the wall.	Il y a des mouches posées sur le mur.
There is a television in my room.	Il y a une télévision dans ma chambre.
There is an apple under the desk.	Il y a une pomme en dessous du bureau.
There is no chance of rain today.	Il n'y a aucun risque de pluie aujourd'hui.
There is no hope of his recovery.	Il n'y a pas d'espoir pour son rétablissement.
There is no need for him to work.	Il n'a pas besoin de travailler.
There is no need for him to work.	Il n'est pas nécessaire qu'il travaille.
There is no need for us to hurry.	Il n'est pas nécessaire de nous dépêcher.
There is no reason for this fear.	Il n'y a pas de raison à cette crainte.
There is no school during August.	Il n'y a pas cours en août.
There is nothing wrong with this.	Il n'y a rien de mauvais à cela.
There is something you must know.	Il y a quelque chose que vous devez savoir.
There is something you must know.	Il y a quelque chose que tu dois savoir.
There must be a misunderstanding.	Il doit y avoir un malentendu.
There must be something in there.	Il doit y avoir quelque chose là-dedans.
There was a good reason for this.	Il y avait une bonne raison à cela.
There was a heavy rain yesterday.	Il y avait une grosse pluie hier.
There was a light rain yesterday.	Il est tombé une légère pluie hier.
There was no question about that.	Il n'en était pas question.
There was only one small problem.	Il y avait juste un petit problème.
There's a church behind my house.	Il y a une église derrière chez moi.
There's no need for you to study.	Vous n'avez pas besoin d'étudier.
There's no need for you to study.	Tu n'as pas besoin d'étudier.
There's no need to call a doctor.	Il n'y a pas besoin d'appeler un médecin.
There's no need to speak so loud.	Il n'est pas nécessaire de parler si fort.
There's no one to look after her.	Il n'y a personne qui prendra soin d'elle.
There's nothing better than that.	Il n'y a rien de mieux que cela.
There's nothing funny about that.	Il n'y a là rien d'amusant.
There's nothing left for me here.	Il ne reste rien pour moi, ici.
There's something fishy going on.	Il se passe quelque chose de louche.
There's something fishy going on.	Quelque chose de suspect est en train de se passer.
There's still so much left to do.	Il reste encore tant à faire.
There's still so much left to do.	Il y a encore tellement à faire.
Thermometers often go below zero.	Le thermomètre descend souvent en dessous de zéro.
These gloves kept her hands warm.	Ces gants gardaient ses mains au chaud.
These houses were dark and dirty.	Ces maisons étaient sombres et sales.
These people hate all foreigners.	Ces gens détestent tous les étrangers.
These shoes are very comfortable.	Ces chaussures sont très confortables.
These trees were planted by them.	Ce sont eux qui ont planté ces arbres.
They appointed him as a director.	Ils le nommèrent directeur.
They are both colleagues of mine.	Ce sont tous deux des collègues à moi.
They are expected any minute now.	Ils devraient venir d'un moment à l'autre.
They are looking to you for help.	Ils attendent que vous les aidiez.
They are looking to you for help.	Ils attendent que tu les aides.
They are the ones who want to go.	Ce sont ceux qui veulent y aller.
They are the ones who want to go.	Ce sont celles qui veulent y aller.
They are the ones who want to go.	Ce sont ceux qui veulent partir.
They are the ones who want to go.	Ce sont celles qui veulent partir.
They are the ones who want to go.	Ce sont ceux qui veulent s'y rendre.
They are the ones who want to go.	Ce sont celles qui veulent s'y rendre.
They aren't telling us the truth.	Ils ne nous disent pas la vérité.
They charge too much for parking.	Ils demandent beaucoup trop d'argent pour un stationnement.
They could not find work at home.	Ils ne pouvaient trouver de travail par chez eux.
They could not get there quickly.	Ils n'ont pas pu y aller rapidement.
They did not have good equipment.	Ils n'avaient pas de bon matériel.
They don't take care of that dog.	Ils ne prennent pas soin de ce chien.
They don't take care of that dog.	Elles ne prennent pas soin de ce chien.
They elected her to be the mayor.	Ils l'ont choisie pour être maire.
They enjoy one another's company.	Ils apprécient la compagnie de l'autre.
They fell into each other's arms.	Ils tombèrent dans les bras l'un de l'autre.
They fell into each other's arms.	Ils tombèrent dans les bras les uns des autres.
They fell into each other's arms.	Elles tombèrent dans les bras l'une de l'autre.
They fell into each other's arms.	Elles tombèrent dans les bras les unes des autres.
They fit each other so perfectly.	Ils vont tellement bien l'un avec l'autre.
They fit each other so perfectly.	Ils conviennent parfaitement l'un à l'autre.
They gave a piece of cake to Tom.	Ils donnèrent un bout de gâteau à Tom.
They gave us very little trouble.	Il nous ont fait très peu de difficultés.
They go into town every Saturday.	Ils se rendent en ville tous les samedis.
They have very little to live on.	Ils ont très peu pour vivre.
They have very little to live on.	Ils disposent de très peu pour vivre.
They hurried by without a glance.	Ils passèrent en se hâtant, sans un regard.
They hurried by without a glance.	Elles passèrent en se hâtant, sans un regard.
They kept me waiting for an hour.	Ils m'ont fait attendre une heure.
They looked as if they would cry.	Ils semblaient être sur le point de pleurer.
They looked as if they would cry.	Elles semblaient être sur le point de pleurer.
They mistook him for his brother.	Ils le confondirent avec son frère.
They mistook him for his brother.	Elles le confondirent avec son frère.
They moved in just the other day.	Ils ont emménagé juste l'autre jour.
They refused to think of leaving.	Ils refusèrent de songer à partir.
They relaxed around the campfire.	Ils se détendirent autour du feu de camp.
They relaxed around the campfire.	Elles se sont détendues autour du feu de camp.
They rushed towards their mother.	Ils se précipitèrent vers leur mère.
They rushed towards their mother.	Elles se précipitèrent vers leur mère.
They shouldn't have written that.	Ils n'auraient pas dû écrire ça.
They shouldn't have written that.	Elles n'auraient pas dû écrire cela.
They stayed at a five-star hotel.	Ils ont séjourné dans un hôtel cinq étoiles.
They stood up for what was right.	Ils se dressèrent pour ce qui était juste.
They stood up for what was right.	Elles se dressèrent pour ce qui était juste.
They were better than I expected.	Ils étaient meilleurs que ce à quoi je m'attendais.
They were better than I expected.	Elles étaient meilleures que ce à quoi je m'attendais.
They were in a hurry to get home.	Ils étaient pressés de rentrer à la maison.
They were not listening to music.	Ils n'écoutaient pas de musique.
They were not listening to music.	Elles n'écoutaient pas de musique.
They were scolded by the teacher.	Ils furent grondés par l'instituteur.
They were scolded by the teacher.	Elles furent grondées par l'instituteur.
They were scolded by the teacher.	Ils furent grondés par l'institutrice.
They were scolded by the teacher.	Elles furent grondées par l'institutrice.
They were scolded by the teacher.	Elles ont été grondées par l'instituteur.
They were scolded by the teacher.	Elles ont été grondées par l'institutrice.
They were scolded by the teacher.	Ils ont été grondés par l'instituteur.
They were scolded by the teacher.	Ils ont été grondés par l'institutrice.
They will get married next month.	Ils vont se marier le mois prochain.
They wouldn't have done anything.	Ils n'auraient rien fait.
They wouldn't have done anything.	Elles n'auraient rien fait.
They're barely paid minimum wage.	Ils sont à peine payés le SMIC.
They're giving away samples free.	Ils distribuent des échantillons gratuits.
They're not telling us the truth.	Ils ne nous disent pas la vérité.
Think carefully before answering.	Réfléchis bien avant de répondre.
Think carefully before answering.	Réfléchissez bien avant de répondre.
Thirty-four of them were lawyers.	Trente cinq d'entre eux étaient avocats.
This T-shirt is too small for me.	Ce T-shirt est trop petit pour moi.
This ball is that boy's treasure.	Ce ballon est le trésor de ce garçon.
This beach is dangerous at night.	Cette plage est dangereuse la nuit.
This bed is too hard to sleep on.	Ce lit est trop dur pour y dormir.
This blue sweater is very pretty.	Ce pull bleu est très beau.
This boat is no longer seaworthy.	Le bateau n'est plus en état de naviguer.
This book contains many pictures.	Ce livre contient de nombreuses images.
This book could be useful to you.	Ce livre pourrait vous être utile.
This book is easy for me to read.	C'est très facile pour moi de lire ce livre.
This book is hard for me to read.	Ce livre m'est d'une lecture difficile.
This book is worth reading again.	Ce livre vaut la peine d'être relu.
This book is worth reading twice.	Ce livre vaut la peine d'être relu.
This building has five elevators.	Cet immeuble a cinq ascenseurs.
This building is near completion.	Ce bâtiment est bientôt terminé.
This can't be what I think it is.	Ça ne peut pas être ce que je pense que c'est.
This can't be what it looks like.	Ça ne peut pas être ce que ça paraît.
This can't be what it looks like.	Ça ne peut pas être ce que ça semble.
This car has no air conditioning.	Cette voiture ne dispose pas d'air conditionné.
This computer is yours, isn't it?	Cet ordinateur est le tien, n'est-ce pas ?
This conversation never happened.	Cette conversation n'a jamais eu lieu.
This day will go down in history.	Ce jour entrera dans l'histoire.
This desk is a little low for me.	Ce bureau est un peu bas pour moi.
This desk takes up too much room.	Ce bureau prend trop de place.
This doll costs only sixty cents.	Cette poupée ne coûte que soixante centimes.
This doll is a gift from my aunt.	Cette poupée est un cadeau de ma tante.
This food does not agree with me.	Cette nourriture ne me convient pas.
This hut is a very special place.	Cette cabane est un endroit très spécial.
This hut is a very special place.	Cette cabane est un lieu très particulier.
This ink stain will not wash out.	Cette tache d'encre ne veut pas s'en aller.
This is a rather unusual request.	C'est une demande plutôt inhabituelle.
This is a real diamond, isn't it?	C'est un authentique diamant, n'est-ce pas ?
This is all that is known so far.	C'est tout ce qu'on sait jusqu'à maintenant.
This is an exception to the rule.	C'est une exception à la règle.
This is how I solved the problem.	C'est ainsi que j'ai résolu le problème.
This is kind of sudden, isn't it?	C'est en quelque sorte soudain, n'est-ce pas ?
This is more expensive than that.	C'est plus cher que ça.
This is the house he was born in.	C'est la maison où il est né.
This is the letter for my friend.	C'est la lettre pour mon ami.
This is the reason why he did it.	C'est la raison pour laquelle il le fit.
This is the very book you wanted.	C'est précisément le livre que vous vouliez.
This is the very book you wanted.	C'est exactement le livre que tu voulais.
This is what I found in the cave.	C'est ce que j'ai trouvé dans la grotte.
This isn't everyone's cup of tea.	Ce n'est pas du goût de tout le monde.
This isn't exactly what I wanted.	Ce n'est pas exactement ce que je voulais.
This isn't the time or the place.	Ce n'est ni le moment, ni l'endroit.
This isn't where I parked my car.	Ce n'est pas là que j'ai garé ma voiture.
This key doesn't fit in the lock.	Cette clef ne rentre pas dans la serrure.
This knife was very useful to me.	Ce couteau m'a beaucoup servi.
This lawn mower runs on gasoline.	Cette tondeuse à gazon fonctionne à l'essence.
This letter is wrongly addressed.	Cette lettre porte une mauvaise adresse.
This milk will keep for two days.	Ce lait peut se garder deux jours.
This offer is good for five days.	Cette offre est valable cinq jours.
This offer is good for five days.	Cette offre vaut pour cinq jours.
This packaging is hard to remove.	Cet emballage est difficile à retirer.
This painting isn't complete yet.	Ce tableau n'est pas encore terminé.
This plant grew little by little.	Cette plante a poussé petit à petit.
This restaurant is badly managed.	Ce restaurant est mal géré.
This sentence doesn't make sense.	Cette phrase n'a pas de sens.
This sentence doesn't make sense.	Cette peine n'a pas de sens.
This shop carries men's clothing.	Ce magasin propose des vêtements pour homme.
This shop is a rental video shop.	Ce magasin est un magasin de location de vidéo.
This should be clear to everyone.	Ça devrait être clair pour tout le monde.
This story has an unhappy ending.	Cette histoire se termine mal.
This sword has a strange history.	Cette épée a une étrange histoire.
This textbook is too hard for me.	Ce manuel scolaire est trop dur pour moi.
This train is bound for New York.	Ce train se dirige vers New-York.
This train stops at all stations.	Ce train s'arrête à toutes les stations.
This tree is about 300 years old.	Cet arbre a environ 300 ans.
This tree is older than that car.	Cet arbre est plus vieux que cette voiture.
This tree is three meters around.	Cet arbre a une circonférence de trois mètres.
This will be a great opportunity.	Ce sera une excellente occasion.
Those men are armed to the teeth.	Ces hommes sont armés jusqu'aux dents.
Three beers and a tequila please.	Trois bières et une tequila s'il vous plaît !
Three beers and a tequila please.	Trois bières et une téquila s'il vous plaît !
To put it bluntly, he's mistaken.	Pour le dire brutalement, il se trompe.
To tell the truth, I don't agree.	À vrai dire, je ne suis pas d'accord.
To tell the truth, I felt lonely.	À dire vrai, je me sentais seul.
To tell the truth, I felt lonely.	En vérité, je me sentais seule.
Tom accused Mary of being a liar.	Tom a accusé Mary d'être une menteuse.
Tom admired Mary for her bravery.	Tom admirait Marie pour son courage.
Tom also likes to play the flute.	Tom aime aussi jouer de la flûte.
Tom always gets up at six-thirty.	Tom se lève toujours à six heures et demie.
Tom and I have nothing in common.	Tom et moi n'avons rien en commun.
Tom and Mary are both professors.	Tom et Mary sont tous les deux professeurs.
Tom and Mary are looking for you.	Tom et Marie sont en train de te chercher.
Tom and Mary are looking for you.	Tom et Marie sont en train de vous chercher.
Tom and Mary are older than John.	Tom et Mary sont plus vieux que John.
Tom and Mary are the same height.	Tom et Marie font la même taille.
Tom and Mary both work full time.	Tom et Marie travaillent tous les deux à temps plein.
Tom and Mary can't both be right.	Tom et Marie ne peuvent pas avoir raison tous les deux.
Tom and Mary seem happy together.	Tom et Marie ont l'air heureux ensemble.
Tom and Mary value their privacy.	Tom et Mary donnent de la valeur à leur vie privée.
Tom and Mary won't go without me.	Tom et Mary n'iront pas sans moi.
Tom asked Mary several questions.	Tom posa plusieurs questions à Mary.
Tom asked Mary several questions.	Tom a posé plusieurs questions à Mary.
Tom asked Mary where the dog was.	Tom a demandé à Mary où était le chien.
Tom asked me what the matter was.	Tom m'a demandé quel était le problème.
Tom borrowed a car from a friend.	Tom a emprunté une voiture d'un ami.
Tom bought some land near Boston.	Tom a acheté un terrain près de Boston.
Tom called Mary before breakfast.	Tom appela Marie avant le petit-déjeuner.
Tom came out of his hiding place.	Tom est sorti de sa cachette.
Tom can play the guitar, I think.	Tom sait jouer de la guitare, je pense.
Tom can ski just as well as Mary.	Tom peut skier tout aussi bien que Mary.
Tom can't do anything about that.	Tom ne peut rien y faire.
Tom can't do anything about that.	Tom ne peut rien faire à cela.
Tom can't give you an answer now.	Tom ne peut pas vous donner une réponse maintenant.
Tom can't give you an answer now.	Tom ne peut pas te donner une réponse maintenant.
Tom carried the suitcases for me.	Tom a porté les valises pour moi.
Tom could have told me the truth.	Tom aurait pu me dire la vérité.
Tom could hear the phone ringing.	Tom pouvait entendre le téléphone sonner.
Tom could tell Mary wasn't happy.	Tom voyait bien que Marie n'était pas heureuse.
Tom couldn't help but feel happy.	Tom ne pouvait s'empêcher de se sentir heureux.
Tom couldn't walk without a cane.	Tom ne pouvait pas marcher sans canne.
Tom crossed the border illegally.	Tom a traversé la frontière illégalement.
Tom desperately needs a vacation.	Tom a désespérément besoin de vacances.
Tom didn't ask me for permission.	Tom ne m'a pas demandé la permission.
Tom didn't even know it was here.	Tom ne savait même pas qu'il était ici.
Tom didn't even know it was here.	Tom ne savait même pas qu'elle était ici.
Tom didn't even say he was sorry.	Tom n'a même pas dit qu'il était désolé.
Tom didn't even say he was sorry.	Tom ne dit même pas qu'il était désolé.
Tom didn't give me back my money.	Tom ne m'a pas rendu mon argent.
Tom didn't give me what I needed.	Tom ne m'a pas donné ce dont j'avais besoin.
Tom didn't know what else to say.	Tom ne savait pas quoi dire d'autre.
Tom didn't know what to say next.	Tom ne savait pas quoi dire ensuite.
Tom didn't know what to say next.	Tom n'a pas su quoi dire après.
Tom didn't listen to what I said.	Tom ne m'écoutait pas.
Tom didn't look as bored as Mary.	Tom n'avait pas l'air aussi ennuyé que Mary.
Tom didn't look as happy as Mary.	Tom n'avait pas l'air aussi heureux que Mary.
Tom didn't look as happy as Mary.	Tom ne semblait pas aussi heureux que Mary.
Tom didn't need to come so early.	Tom n'avait pas besoin de venir si tôt.
Tom died before his son was born.	Tom est mort avant que son fils naisse.
Tom died in prison ten years ago.	Tom est mort en prison il y a dix ans.
Tom does nothing but read comics.	Tom ne fait rien à part lire des bandes dessinées.
Tom doesn't have anything to eat.	Tom n'a rien à manger.
Tom doesn't know much about guns.	Tom ne connaît pas grand-chose aux armes à feu.
Tom doesn't know the whole story.	Tom ne connaît pas toute l'histoire.
Tom doesn't know what he's doing.	Tom ne sait pas ce qu'il fait.
Tom doesn't know what's going on.	Tom ne sait pas ce qui se passe.
Tom doesn't like poker very much.	Tom n'aime pas beaucoup le poker.
Tom doesn't like to speak French.	Tom n'aime pas parler français.
Tom doesn't look troubled at all.	Tom n'a pas du tout l'air inquiet.
Tom doesn't owe anybody anything.	Tom ne doit rien à personne.
Tom doesn't read books in French.	Tom ne lit pas de livres en français.
Tom doesn't seem very interested.	Tom ne semble pas très intéressé.
Tom doesn't speak French at home.	Tom ne parle pas français chez lui.
Tom doesn't talk to Mary anymore.	Tom ne parle plus à Marie.
Tom doesn't think it's his fault.	Tom ne pense pas que ce soit sa faute.
Tom doesn't understand the rules.	Tom ne comprend pas les règles.
Tom doesn't want you to get hurt.	Tom ne veut pas que tu te blesses.
Tom doesn't want you to get hurt.	Tom ne veut pas que vous soyez blessée.
Tom drives everybody up the wall.	Tom rend tout le monde dingues.
Tom eats the same food every day.	Tom mange la même nourriture tous les jours.
Tom enjoys watching sports on TV.	Tom aime regarder le sport à la télévision.
Tom enjoys working here, I think.	Tom apprécie de travailler ici, je pense.
Tom felt helpless and frightened.	Tom se sentait impuissant et effrayé.
Tom forgot his trumpet at school.	Tom a oublié sa trompette à l'école.
Tom forgot his trumpet at school.	Tom oublia sa trompette à l'école.
Tom forgot the keys on the table.	Tom a oublié les clés sur la table.
Tom forgot to bring a flashlight.	Tom a oublié d'apporter une lampe torche.
Tom gets up at six every morning.	Tom se lève à 6h tous les matins.
Tom gets up early in the morning.	Tom se lève tôt le matin.
Tom had to do everything himself.	Tom a dû tout faire lui-même.
Tom had to spend a night in jail.	Tom a dû passer une nuit en prison.
Tom has a new girlfriend already.	Tom a déjà une nouvelle petite amie.
Tom has a tattoo on his left arm.	Tom a un tatouage sur son bras gauche.
Tom has a tendency to exaggerate.	Tom a tendance à exagérer.
Tom has an opinion on everything.	Tom a un avis sur tout.
Tom has been a very good manager.	Tom a été un très bon gestionnaire.
Tom has been a very good manager.	Tom a été un très bon manager.
Tom has been quite busy recently.	Tom est très occupé récemment.
Tom has been watching TV all day.	Tom a regardé la télé toute la journée.
Tom has begun writing a new book.	Tom a commencé à écrire un nouveau livre.
Tom has changed a lot since then.	Tom a beaucoup changé depuis.
Tom has done other stupid things.	Tom a fait d'autres choses stupides.
Tom has lost both of his parents.	Tom a perdu ses deux parents.
Tom has made up his mind already.	Tom s'est déjà décidé.
Tom has more free time than I do.	Tom a plus de temps libre que moi.
Tom has more free time than I do.	Tom dispose de plus de temps libre que moi.
Tom has more money than he needs.	Tom a plus d'argent qu'il n'en a besoin.
Tom has never asked me for money.	Tom ne m'a jamais demandé d'argent.
Tom has no prior criminal record.	Tom n'a pas d'antécédents judiciaires.
Tom has no prior criminal record.	Tom n'a pas de casier judiciaire.
Tom has scored 30 points already.	Tom a déjà marqué 30 points.
Tom has sold his house in Boston.	Tom a vendu sa maison à Boston.
Tom has sold his house in Boston.	Tom a vendu sa maison de Boston.
Tom has the experience necessary.	Tom a l'expérience nécessaire.
Tom has the necessary experience.	Tom a l'expérience nécessaire.
Tom has traveled all over Europe.	Tom a voyagé à travers toute l'Europe.
Tom hasn't been living here long.	Tom n'habite pas ici depuis longtemps.
Tom hasn't bought his ticket yet.	Tom n'a pas encore acheté son ticket.
Tom hasn't violated his contract.	Tom n'a pas violé son contrat.
Tom insisted that he acted alone.	Tom a insisté pour qu'il agisse seul.
Tom is a member of the SWAT team.	Tom est un membre de l'équipe du GIGN.
